iso1,iso2,group,community,id,season
-18.02,6.01,3,3,AN,March
-17.34,5.76,3,3,AN,March
-17.47,5.54,3,3,AN,March
-16.62,7.79,4,3,Fish,March
-15.73,8.37,4,3,Fish,March
-16.04,8.42,4,3,Fish,March
-16.86,7.99,4,3,Fish,March
-17.16,2.52,5,3,GA,March
-17.31,1.55,5,3,GA,March
-16.12,2.43,5,3,GA,March
-17.57,1.57,5,3,GA,March
-15.98,0.26,5,3,GA,March
-17.06,1.42,5,3,GA,March
-15.41,1.89,5,3,GA,March
-17.19,2.27,5,3,GA,March
-15.88,2.44,5,3,GA,March
-16.12,2.42,5,3,GA,March
-16.56,2.51,5,3,GA,March
-16.11,2.59,5,3,GA,March
-16.19,2.43,5,3,GA,March
-15.57,1.57,5,3,GA,March
-15.28,2.76,5,3,GA,March
-16.1,2.45,5,3,GA,March
-16.41,1.89,5,3,GA,March
-16.49,2.61,5,3,GA,March
-15.98,2.28,5,3,GA,March
-15.22,2.64,5,3,GA,March
-18.75,2.14,6,3,GF,March
-20.6,0.73,6,3,GF,March
-20.86,-0.46,6,3,GF,March
-20.74,-0.39,6,3,GF,March
-19.11,0.82,6,3,GF,March
-18.7,2.37,6,3,GF,March
-19.92,2.18,6,3,GF,March
-19.33,1.79,6,3,GF,March
-18.87,1.25,6,3,GF,March
-19.76,1.31,6,3,GF,March
-19.88,2.06,6,3,GF,March
-18.26,2.28,6,3,GF,March
-18.43,2.87,6,3,GF,March
-18.37,2.93,6,3,GF,March
-19.03,3.21,6,3,GF,March
-17.3,3.35,6,3,GF,March
-16.3,3.83,6,3,GF,March
-18.53,3.59,6,3,GF,March
-17.97,3.03,6,3,GF,March
-17.87,2.72,6,3,GF,March
-17.59,3.27,6,3,GF,March
-16.01,6.43,7,3,LA,March
-17.01,5.87,7,3,LA,March
-16.52,5.15,7,3,LA,March
-15.21,6.02,7,3,LA,March
-16.89,5.14,7,3,LA,March
-17.12,5.46,7,3,LA,March
-21.95,3.73,8,3,LH,March
-21.95,3.82,8,3,LH,March
-19.58,4.19,8,3,LH,March
-21.77,3.99,8,3,LH,March
-20.84,4.02,8,3,LH,March
-21.03,3.84,8,3,LH,March
-21.91,3.23,8,3,LH,March
-21.45,4.06,8,3,LH,March
-20.61,3.16,8,3,LH,March
-19.98,3.45,8,3,LH,March
-21.64,3.67,8,3,LH,March
-20.21,1.67,9,3,MH,March
-20.63,0.76,9,3,MH,March
-20.35,-0.18,9,3,MH,March
-20.85,0.64,9,3,MH,March
-20.87,0.47,9,3,MH,March
-20.93,0,9,3,MH,March
-20.49,0.91,9,3,MH,March
-21.22,1,9,3,MH,March
-21.31,1.11,9,3,MH,March
-21.05,0.33,9,3,MH,March
-19.04,3.63,9,3,MH,March
-20.06,2.85,9,3,MH,March
-18.9,3.45,9,3,MH,March
-19.58,3.07,9,3,MH,March
-19.66,2.68,9,3,MH,March
-19.49,3.02,9,3,MH,March
-19.31,3.22,9,3,MH,March
-19.56,3.35,9,3,MH,March
-18.78,3.32,10,3,Polychetes,March
-19.03,3.01,10,3,Polychetes,March
-18.67,3.67,10,3,Polychetes,March
-18.98,2.92,10,3,Polychetes,March
