iso1,iso2,group,community,id,season
-17.10,6.92,5,3,PX,March
-16.79,6.12,5,3,PX,March
-16.63,6.25,5,3,PX,March
-17.54,6.99,5,3,PX,March
-16.86,6.41,5,3,PX,March
-17.04,6.78,5,3,PX,March
-16.79,6.16,5,3,PX,March
-17.34,6.53,5,3,PX,March
-17.02,6.12,5,3,PX,March
-16.84,6.21,5,3,PX,March
-17.29,6.09,5,3,PX,March
-18.45,4.25,1,4,AN,May
-18.27,3.98,1,4,AN,May
-19.01,4.06,1,4,AN,May
-18.26,4.54,1,4,AN,May
-18.73,4.95,1,4,AN,May
-17.92,5.16,1,4,AN,May
-18.50,4.63,1,4,AN,May
-17.89,4.89,1,4,AN,May
-18.67,5.01,1,4,AN,May
-14.59,3.17,2,4,GA,May
-15.14,3.32,2,4,GA,May
-14.36,3.51,2,4,GA,May
-15.89,3.12,2,4,GA,May
-14.58,3.02,2,4,GA,May
-15.12,3.19,2,4,GA,May
-14.47,3.08,2,4,GA,May
-14.51,2.09,2,4,GA,May
-15.36,2.29,2,4,GA,May
-15.04,3.10,2,4,GA,May
-15.11,2.74,2,4,GA,May
-15.25,3.01,2,4,GA,May
-16.46,3.36,2,4,GA,May
-15.16,2.58,2,4,GA,May
-15.14,2.18,2,4,GA,May
-15.02,2.81,2,4,GA,May
-16.06,3.81,2,4,GA,May
-15.26,2.53,2,4,GA,May
-15.85,3.19,2,4,GA,May
-15.08,2.92,2,4,GA,May
-18.93,1.57,3,4,GF,May
-18.39,2.83,3,4,GF,May
-19.00,0.20,3,4,GF,May
-19.24,1.79,3,4,GF,May
-18.88,1.54,3,4,GF,May
-19.22,0.87,3,4,GF,May
-18.61,1.56,3,4,GF,May
-20.34,0.45,3,4,GF,May
-18.80,1.74,3,4,GF,May
-18.72,1.56,3,4,GF,May
-19.23,2.26,3,4,GF,May
-18.45,1.97,3,4,GF,May
-19.01,1.09,3,4,GF,May
-20.13,1.91,3,4,GF,May
-18.77,1.64,3,4,GF,May
-17.65,1.42,3,4,GF,May
-19.94,2.21,3,4,GF,May
-19.53,1.82,3,4,GF,May
-19.47,2.61,3,4,GF,May
-19.54,1.28,4,4,MH,May
-19.01,1.67,4,4,MH,May
-19.78,1.01,4,4,MH,May
-18.89,1.35,4,4,MH,May
-19.41,0.63,4,4,MH,May
-19.43,1.29,4,4,MH,May
-18.79,0.21,4,4,MH,May
-18.74,2.05,4,4,MH,May
-18.87,2.38,4,4,MH,May
-18.39,2.97,4,4,MH,May
-18.47,2.14,4,4,MH,May
-17.91,2.41,4,4,MH,May
-19.76,6.43,5,4,PX,May
-19.21,6.62,5,4,PX,May
-18.78,6.34,5,4,PX,May
-19.01,6.47,5,4,PX,May
-18.81,6.51,5,4,PX,May
